x1,y2,z1,x2,y2,z2,x3,y3,z3,x4,y4,z5,x5,y5,z5
464,527,393,615,567,565,385,527,538,543,499,398,512,383,540
471,548,390,640,544,531,370,584,491,555,564,359,517,376,538
424,530,413,639,549,533,375,559,506,558,529,371,527,371,533
464,534,410,625,547,546,362,559,513,547,542,368,529,367,527
461,542,394,595,563,550,355,535,515,546,545,367,529,370,519
431,521,382,580,580,556,331,530,527,590,537,373,532,372,521
435,510,405,574,577,553,321,519,525,590,520,397,539,371,523
452,530,394,581,576,556,342,518,518,561,546,381,537,368,530
448,536,405,595,561,557,367,527,523,549,539,369,536,379,527
471,542,409,607,532,552,385,539,528,520,545,387,535,390,533
479,549,380,608,517,547,395,554,528,536,563,380,537,403,534
469,503,401,609,538,543,365,550,519,551,572,390,536,404,531
454,538,395,592,540,540,374,505,507,571,534,401,530,396,528
487,525,395,589,531,532,360,522,524,539,560,395,525,388,532
476,533,387,601,535,531,344,544,520,525,565,366,521,388,524
